file,line,matched_text,is_actual_import_code,reason
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_full_runner_dataset.py,141,"o1_cols = [""TanOdds"", ""TanNinki"", ""TanVote"", ""FukuOddsLow"", ""FukuOddsHigh"", ""FukuNinki"", ""FukuVote""]",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_full_runner_dataset.py,186,"o1.TanOdds AS tan_odds,",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_full_runner_dataset.py,188,"o1.FukuOddsLow AS fuku_odds_low,",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_full_runner_dataset.py,210,LEFT JOIN NL_O1 o1 ON {race_join_o1},False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_full_runner_dataset.py,376,"""Base table is `NL_SE`, one row per runner. Race metadata joins from `NL_RA` by race key. Odds joins from `NL_O1` by race key plus `Umaban`. Win and place payouts are expanded from `NL_HR` payout slots and joined by race key plus `Umaban`."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_full_runner_dataset.py,378,"""The dataset is limited to JRA central racecourse codes `01` through `10`. Other `JyoCD` values in `NL_SE` do not have matching JRA odds/payout records in `NL_O1/NL_HR` and are excluded from this base JRA runner dataset."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_model_features.py,62,"""TanOdds"", ""TanNinki"", ""TanVote"", ""FukuOddsLow"", ""FukuOddsHigh"", ""FukuNinki"", ""FukuVote"",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\build_model_features.py,514,"""`market_free` はオッズ、人気、票数を除外します。`market_aware` は `TanOdds`, `TanNinki`, `FukuOddsLow`, `FukuOddsHigh`, `FukuNinki`, `TanVote`, `FukuVote` と取得フラグを含めます。"",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,35,"""NL_O1"": [",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,38,"""TanOdds"", ""TanNinki"",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,39,"""FukuUmaban"", ""FukuOddsLow"", ""FukuOddsHigh"", ""FukuNinki"",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,108,"o1.TanOdds AS o1_tan_odds, o1.TanNinki AS o1_tan_ninki,",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,109,"o1.FukuOddsLow, o1.FukuOddsHigh, o1.FukuNinki,",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,119,LEFT JOIN NL_O1 o1 ON {o1_join},False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,190,"""- `NL_O1`: win/place odds by race key plus `Umaban`."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,230,"""In the limited join sample, `NL_SE.Odds` and `NL_O1.TanOdds` are compared in `outputs/join_check_sample.csv` with `odds_relation`. Use this as a structural check only; a later validation should sample multiple race dates intentionally without full scans."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,252,"""Join win/place odds from `NL_O1` on `Year, MonthDay, JyoCD, Kaiji, Nichiji, RaceNum, Umaban`."",",False,reference only
