cause,previous_confidence,updated_confidence,supporting_evidence,counter_evidence,remaining_question
O1値未収録,confirmed,confirmed,O1 row exists but odds NULL is dominant; V1.1 flag/race pattern outputs quantify it.,valid O1 rows exist for subset,Why NULL rows are stored for many races.
O1正式列採用,confirmed,confirmed,base builder maps market columns from NL_O1 only.,none,none
DataKubun依存,possible,highly likely,DataKubun cross outputs separate valid/null states.,meaning of values not confirmed from official spec,Official meaning of DataKubun values.
TanFlag/FukuFlag依存,not_checked,highly likely,flag cross outputs show valid rates by TanFlag/FukuFlag.,flag semantics unconfirmed,Official flag meaning.
取得時点依存,possible,possible,MakeDate timing outputs quantify same-day/after-day distribution.,"MakeDate may be record creation date, not live odds snapshot time",JV-Link publish/fromtime behavior and O1 update timing.
レース単位取得不足,possible,highly likely,race-level all_null/all_valid patterns distinguish race-unit from horse-unit missingness.,"partial races, if present, remain possible",External acquisition settings.
馬単位欠損,possible,possible,partial race samples are output.,"if partial count is low, not main cause",Inspect partial samples.
JOINキー不一致,possible,disproved_as_main_cause,O1 row missing is small relative to O1 NULL.,some missing_o1_rows remain,Remaining O1 row missing samples.
取消・除外,disproved,disproved,normal runners also affected.,abnormal status can have distinct rates,none
取込上書き,possible,possible_not_confirmed,No actual external import code found in repo candidate scan.,No history table proving valid-to-null overwrite,External ingestion code/logs.
外部取得設定不足,highly likely,highly likely,NULL is concentrated in O1 state/flag/race patterns.,Official semantics not fully verified,JV-Link/DataLab configuration.
型変換・倍率問題,disproved,disproved,"SE/O1 valid overlap exact match, invalid count zero.",none significant,none
